loan_status,loan_amnt,int_rate,installment,annual_inc,revol_bal,revol_util,total_acc,acc_open_past_24mths,total_pymnt,loss
1,6000,10.99,196.41,111500.0,33435.0,72.5,11.0,2.0,6533.910001,-533.9100010000002
1,19200,5.32,578.21,128000.0,34725.0,25.2,33.0,6.0,20067.55,-867.5499999999993
1,7000,12.39,233.81,42000.0,8329.0,53.4,15.0,6.0,7692.95,-692.9499999999998
1,16000,10.49,519.97,75000.0,28739.0,47.3,43.0,9.0,16430.58,-430.58000000000175
1,20000,11.99,664.2,65000.0,3871.0,7.3,43.0,7.0,21508.24,-1508.2400000000016
1,28000,6.92,833.0390000000002,128000.0,29857.0,85.0,25.0,1.0,26131.192000000003,1868.8079999999973
1,25000,11.53,824.76,121000.0,20127.0,68.7,32.0,2.0,26131.192000000003,-1131.1920000000027
1,10000,13.33,338.54,48000.0,9442.0,85.0,20.0,7.0,10376.34,-376.34000000000015
1,24000,14.65,827.87,65000.0,11082.0,51.0,17.0,7.0,26131.192000000003,-2131.1920000000027
1,5600,10.99,183.32,53000.0,4474.0,69.9,28.0,6.0,6315.16,-715.1599999999999
1,5000,9.17,159.4,52000.0,8330.0,64.1,37.0,8.0,5016.56,-16.5600000000004
1,5000,6.24,152.66,64000.0,37066.0,76.0,37.0,3.0,5178.78,-178.77999999999975
1,19000,9.17,605.7,100000.0,16586.0,59.0,17.0,3.0,20752.22,-1752.2200000000012
1,3000,13.99,102.52,68000.0,7547.0,64.5,24.0,9.0,3296.73,-296.73
1,6000,12.29,200.12,55000.0,10851.0,72.3,29.0,6.0,6129.1,-129.10000000000036
1,20000,7.26,619.93,96000.0,18818.0,33.9,23.0,3.0,21032.83,-1032.8300000000017
1,22000,7.89,688.29,104000.0,23310.0,59.9,21.0,3.0,23881.36155,-1881.3615500000014
1,9000,6.24,274.78,60000.0,16432.0,68.8,39.0,4.0,9479.09,-479.09000000000015
1,24000,6.92,740.18,75000.0,37066.0,59.0,29.0,3.0,25312.8,-1312.7999999999993
1,14000,6.89,431.58,128000.0,37066.0,62.5,36.0,4.0,14859.5,-859.5
1,10000,13.33,338.54,84000.0,37066.0,34.3,40.0,5.0,10750.15,-750.1499999999996
1,6000,14.48,206.47,50000.0,9886.0,76.0,19.0,7.0,6276.649427,-276.6494270000003
1,2500,9.99,80.66,40000.0,13305.0,55.4,11.0,1.0,2600.42,-100.42000000000007
0,2000,11.44,65.9,66000.0,4376.0,45.1,31.0,4.0,1051.86,948.1400000000001
0,4525,18.55,164.85,32000.0,15.0,0.4,9.0,6.0,1643.84,2881.16
1,35000,9.17,833.0390000000002,128000.0,26896.0,33.4,28.0,3.0,26131.192000000003,8868.807999999997
0,20000,9.17,637.58,72000.0,25684.0,57.8,20.0,1.0,4016.34,15983.66
1,11875,12.69,398.35,27000.0,12272.0,50.1,25.0,5.0,13036.54,-1161.5400000000009
1,10000,12.39,334.01,36400.0,7301.0,82.0,6.0,1.0,10888.44,-888.4400000000005
1,24000,12.39,801.63,82000.0,10798.0,85.0,15.0,0.0,26131.192000000003,-2131.1920000000027
1,28000,6.24,833.0390000000002,70000.0,13522.0,59.0,26.0,0.0,26131.192000000003,1868.8079999999973
1,12000,10.49,389.98,65000.0,14236.0,85.0,9.0,1.0,13102.05,-1102.0499999999993
1,2000,12.69,67.09,38000.0,16575.0,78.9,39.0,5.0,2236.1,-236.0999999999999
1,8000,14.65,275.96,23000.0,7959.0,29.8,27.0,4.0,9018.59,-1018.5900000000001
1,4000,9.99,129.05,70000.0,37066.0,84.0,43.0,9.0,4280.43,-280.4300000000003
0,35000,9.49,833.0390000000002,102000.0,35375.0,26.4,43.0,7.0,17931.46,17068.54
1,12000,7.26,371.96,45600.0,15092.0,54.5,26.0,6.0,12759.6,-759.6000000000004
1,4200,13.99,143.53,87000.0,37066.0,79.8,19.0,2.0,4263.26,-63.26000000000022
1,5000,10.99,163.67,30000.0,673.0,3.8,10.0,3.0,5354.96,-354.96000000000004
0,20000,10.99,654.68,99000.0,37066.0,39.8,43.0,9.0,4558.34,15441.66
0,12000,12.29,400.24,30000.0,2399.0,25.3,10.0,3.0,2793.49,9206.51
1,15000,6.49,459.67,35000.0,24806.0,80.3,13.0,1.0,16262.72001,-1262.720009999999
0,12000,12.69,402.54,40000.0,7683.0,30.0,19.0,8.0,2811.97,9188.03
1,5525,18.25,200.44,48000.0,13736.0,69.7,26.0,9.0,6066.28,-541.2799999999997
1,3200,7.26,99.19,86000.0,26642.0,47.3,34.0,8.0,3414.51,-214.51000000000022
0,9600,5.32,289.11,47000.0,9217.0,41.0,12.0,2.0,2883.43,6716.57
1,10000,6.89,308.27,66000.0,12588.0,48.0,20.0,5.0,10204.71,-204.70999999999913
1,15000,11.53,494.86,40000.0,12371.0,46.5,34.0,5.0,16126.03,-1126.0300000000007
1,28000,9.17,833.0390000000002,128000.0,37066.0,64.5,43.0,9.0,26131.192000000003,1868.8079999999973
1,6000,6.49,183.87,50000.0,5621.0,15.9,26.0,6.0,6207.64,-207.64000000000033
1,6500,12.69,218.05,29500.0,6209.0,33.6,19.0,3.0,6744.85,-244.85000000000036
1,6500,11.99,215.87,55000.0,11625.0,36.9,40.0,6.0,7048.32,-548.3199999999997
1,12000,9.17,382.55,56100.0,13093.0,70.4,42.0,5.0,12874.15,-874.1499999999996
1,7600,21.99,290.21,20000.0,14541.0,47.5,19.0,2.0,7612.31,-12.3100000000004
1,30000,6.89,833.0390000000002,104000.0,37066.0,80.7,27.0,3.0,26131.192000000003,3868.8079999999973
1,17000,13.33,575.51,34000.0,13891.0,85.0,18.0,3.0,17007.87,-7.869999999998981
1,12000,12.99,404.27,108000.0,11449.0,75.3,30.0,4.0,13878.66,-1878.6599999999999
1,10500,9.99,338.76,61000.0,14857.0,51.8,34.0,7.0,10549.53,-49.530000000000655
1,4800,9.17,153.02,60000.0,5757.0,25.2,43.0,4.0,5182.94,-382.9399999999996
1,28825,6.99,833.0390000000002,128000.0,37066.0,74.1,40.0,8.0,26131.192000000003,2693.8079999999973
1,24000,5.32,722.76,125000.0,24269.0,24.8,43.0,9.0,25101.49,-1101.4900000000016
1,6650,12.69,223.08,65000.0,10351.0,71.4,17.0,4.0,7268.26,-618.2600000000002
0,8000,14.65,275.96,75000.0,11672.0,42.1,43.0,9.0,2640.41,5359.59
1,22000,6.49,674.18,128000.0,25529.0,25.1,41.0,5.0,23400.57,-1400.5699999999997
1,5600,7.89,175.2,110000.0,6687.0,32.0,21.0,8.0,5842.61,-242.60999999999967
0,28550,18.25,833.0390000000002,68000.0,11682.0,43.3,30.0,4.0,9292.72,19257.28
1,8000,15.61,279.72,45000.0,6498.0,39.6,25.0,6.0,8477.78,-477.78000000000065
1,8000,10.99,261.88,60000.0,25447.0,60.6,40.0,5.0,8724.89,-724.8899999999994
0,22000,5.93,668.59,84000.0,37066.0,57.7,27.0,4.0,7416.05,14583.95
0,32500,16.99,833.0390000000002,65000.0,37066.0,85.0,16.0,1.0,11524.25,20975.75
1,10000,8.18,314.2,40000.0,7257.0,36.3,21.0,6.0,10230.34,-230.34000000000015
1,10000,16.99,356.48,100000.0,35151.0,85.0,14.0,4.0,12013.53,-2013.5300000000007
1,12000,12.29,400.24,112000.0,37066.0,85.0,8.0,2.0,13182.59,-1182.5900000000001
1,7500,8.18,235.65,82000.0,7565.0,39.8,22.0,4.0,8087.88,-587.8800000000001
0,15000,7.89,469.29,70000.0,31243.0,31.8,21.0,5.0,1864.01,13135.99
1,1000,12.59,33.5,43500.0,3069.0,6.5,36.0,9.0,1023.08,-23.08000000000004
1,13000,6.99,401.35,60000.0,14676.0,17.0,43.0,8.0,13874.55246,-874.5524600000008
1,6000,13.33,203.12,85000.0,5334.0,49.9,29.0,8.0,6894.650003,-894.6500029999997
0,25000,11.99,830.24,100000.0,37066.0,81.5,21.0,5.0,11058.23,13941.77
