Retailer,Salerank,X2013USSales,X2013WorldSales,ProfitMargin,NumStores,Industry,Reward,ProgramName,RewardType,RewardStructure,RewardSize,ExpirationMonth,IndustryType
Staples,47,8.883,8.64,50.15,1.515,"Specialty Retail, Other",1,Staples Rewards,store credit,2% or 5% on everything except postage stamps,3.5,3,Specialty
Starbucks,42,9.631,9.972,71.56,11.513,Restaurants,1,My Starbucks Rewards,free product,Buy 12 drinks to earn 12 stars  =  free drink,8,1,Restaurants
Subway,31,12.861,12.917,11.39,26.644,Restaurants,1,SUBWAY Card Rewards Program,,"Spend $1 earn 1 point = various rewards (e.g., 75 pts for footlong subs)",6.7,36,Restaurants
SUPERVALU,37,10.967,50.081,70.06,1.544,Grocery Stores,1,My Cub Rewards,gas discount,Spend $50  = $.05 off per gallon,1.5,1,Grocery
The Home Depot,5,69.951,78.812,58.4,1.965,Home Improvement Stores,1,Fuel Rewards,gas discount,"Spend $100/$1,000/$2,000/$4,000 earn 100/1,000/2,000/4,000 points = $.10/$1.00/$2.00/$4.00 off per gallon at participating Shell stations",1.5,1,Specialty
TJX,19,20.923,27.423,72.4,2.454,Department Stores,1,Reward The Public,store credit,"Spend $200 earn 1,000 points = $10 reward certificate for future purchase",5,24,Department
"Toys ""R"" Us",57,7.525,13.307,79.33,0.868,"Specialty Retail, Other",1,"Rewards""R"" Us",store credit,Spend $125 earn $5 Reward Dollars for future purchases,4,12,Specialty
Tractor Supply,77,5.165,5.165,2.65,1.276,"Specialty Retail, Other",1,Neighbor's Club,store credit,Spend $150 X3 times earn seasonal (quarterly) reward ($5 store credit),1.11,3,Specialty
True Value,27,16.33,16.33,38.69,4.494,Home Improvement Stores,1,TrueValue Rewards,store credit,"Spend $250 earn 2,500 points = $5 reward certificate for future purchase",2,24,Specialty
Walgreen,6,68.068,70.096,23.47,7.998,Drug Stores,1,Balance Rewards,store credit,"500 points on every prescription filled in the pharmacy, good for $5 discount of future purchase",10,6,Specialty
