Retailer,Salerank,X2013USSales,X2013WorldSales,ProfitMargin,NumStores,Industry,Reward,ProgramName,RewardType,RewardStructure,RewardSize,ExpirationMonth,IndustryType
7-Eleven,35,11.625,11.504,50.31,7.974,"Discount, Variety Stores",1,7REWARDS,store credit,Buy 6 drinks  =  free drink,16.67,12,Discount
Advance Auto Parts,66,6.443,6.485,64.24,4.023,Auto Parts Stores,1,SpeedPerks,store credit,Spend $30/$100 = $5/$20 rewards for the next $10+ purchase ,16.6,2,Specialty
Ahold USA / Royal,17,26.118,44.028,40.87,0.767,Grocery Stores,1,Stop and Shop Rewards,gas discount,Spend $100 and earn 0.10 off per gallon for the maximum discount of $2.20 per gallon,15,1,Grocery
Ascena Retail Group (Ann Taylor),84,4.665,4.715,93.45,3.854,Apparel Stores,1,PerfectRewards,store credit,"Spend $400 earn 2,000 points = $20 PERFECT REWARDS card",5,1,Specialty
AutoZone,56,7.584,15.19,96.64,4.802,Auto Parts Stores,1,AutoZone Rewards,store credit,Spend $20+ 5 times earn 5 credits = $20 merchandise credit,20,3,Specialty
Best Buy,12,35.766,42.159,36.33,1.492,Electronics Stores,1,My Best Buy,store credit,Spend $250 earn 250 points = $5 reward certificate,2,12,Specialty
Bi-Lo,44,9.087,10.205,29.5,0.684,"Discount, Variety Stores",1,Fuelperks,gas discount,"Spend $50  = $.05 off per gallon, up to 20 gallons",1.5,3,Discount
BJ's Wholesale,29,12.965,12.965,55.72,0.201,"Discount, Variety Stores",1,My BJ's Perks,store credit,2% of purchase amount for future purchase,2,6,Discount
Bloomin' Brands (Outback),92,4.084,4.763,33.94,1.288,Restaurants,1,Dine Rewards,store credit,"Spend $20 X3 = 50% off next check, capped at $20 (assumes $30 check)",22.22,3,Restaurants
Brinker International,98,3.746,4.399,16.1,1.309,Restaurants,1,My Chili's Rewards,free merchandise,Spend $80/160 earn 80/160 points = $8/$16 appetizer / entree,10,4,Restaurants
CVS Caremark,7,65.618,66.682,43.17,7.621,Drug Stores,1,ExtraBucks,store credit,"2% off for future purchase except alcohol, prescriptions, stamps, and tabacoo products",2,1.5,Specialty
Dick's Sporting Goods,69,6.212,6.212,15.34,0.644,Sporting Goods Stores,1,eRewards,store credit,Spend $300 earn 300 points = $10 rewards off future purchases,3.3,12,Specialty
Dillard's,67,6.439,6.439,52.8,0.296,Department Stores,1,Dillard's Credit Card,store credit,"Spend $750 earn 1,500 points = $10 reward certificate",1.33,12,Department
GameStop,70,6.108,9.04,55.76,4.272,Electronics Stores,1,PowerUpRewards,free merchandise,"Spend $6,000/$3,000 on new games/pre-owned games earn 60,000 points =$60 PS4 DualShock Wireless Controller",1,12,Specialty
Gap,30,12.872,16.248,22.77,2.432,Apparel Stores,1,GAP Rewards Program,store credit,"Spend $200 earn 1,000 points = $5 reward certificate for future purchase",2.5,24,Specialty
Giant Eagle,64,6.94,6.94,99.2,0.42,Grocery Stores,1,Fuelperks,gas discount,Spend $50 = $.10 off per gallon,4,2,Grocery
Harris Teeter Supermkts,83,4.71,4.71,27.24,0.216,Grocery Stores,1,InStore Rewards / Fuel Rewards,,Buy 7.5 whole sub = 1 free sub / Spend $50+  = $10 discount off a $50 gas card,13.3,1.5,Grocery
H-E-B,20,19.683,21,9.49,0.311,Grocery Stores,1,Points Club Rewards,store credit,"Spend $66.7 earn 1,000 points = $1 reward certificate for future purchase",1.5,3,Grocery
Hy-Vee,55,7.629,8.859,1.99,0.235,"Discount, Variety Stores",1,FuelSaver,gas discount,"Buy $3/$6 grocery and earn $0.03/$0.06 off per gallon, up to 20 gallons",20,1,Discount
Ingles Markets,100,3.6,3.6,32.83,0.203,Grocery Stores,1,Fuel Reward,gas discount,Spend $100 earn 100 points = $.05 off per gallon,1,1,Grocery
J.C. Penney,34,11.789,84.088,11.07,1.087,Department Stores,1,JCPenney Rewards,store credit,Spend $100 earn 100 points = $10 reward certificate for future purchase,10,12,Department
Kohl's,22,19.031,19.031,81.23,1.158,Department Stores,1,Yes2You Rewards ,store credit,Spend $100 earn 100 points = $5 reward certificate for future purchase,5,12,Department
Kroger,2,93.598,93.598,51.54,3.519,Grocery Stores,1,Fuel Program,gas discount,"Spend $100 earn 100 points = $.10 off per gallon, up to 35 gallons",2,1,Grocery
L Brands (Bath & body works),43,9.349,9.087,64.38,2.648,Apparel Stores,1,Love Your Body Program,store credit,"Spend $80 earn 4 points = $15 off future purchase, Spend $160 earn 8 points = $25 off future purchase",16,12,Specialty
Meijer,26,16.62,16.62,32.56,0.202,"Discount, Variety Stores",1,mPerks,store credit,Spend $100 to get $10 off next purchase (for baby products),10,1,Discount
Neiman Marcus,86,4.648,4.648,25.59,0.085,Department Stores,1,InCircle,store credit,"Spend $5,000 earn 10,00 points = $100 reward certificate for future purchase",2,6,Department
Nordstrom,33,12.366,11.859,77.64,0.26,Apparel Stores,1,Nordstrom Rewards,store credit  and various rewards,"Spend $1,000 earn 2,000 points = $20 reward certificate for future purchase",2,12,Specialty
Office Depot,61,7.022,10.485,87.39,1.07,"Specialty Retail, Other",1,Choice Member,store credit,"Get 10% discount in rewards for shopping paper, ink, toner",10,2,Specialty
OfficeMax,85,4.652,6.077,89.06,0.823,"Specialty Retail, Other",1,Choice Member,store credit,"Get 10% discount in rewards for shopping paper, ink, toner",10,2,Specialty
O'Reilly Automotive,65,6.649,6.649,95.72,4.166,Auto Parts Stores,1,O'Rewards,store credit,Spend $150  earn 150 points = $5 O'Rewards coupon ,3.33,12,Specialty
Price Chopper Supermrkts,97,3.784,3.784,16.46,0.132,"Discount, Variety Stores",1,AdvantEdge,gas discount,Spend $100 for $0.10 up to 20 gallons,2,2,Discount
Rite Aid,18,25.526,25.526,11.21,4.587,Drug Stores,1,Wellness+ ,store credit,Spend $250  = 10% off future purchases,5,12,Specialty
Safeway,10,37.534,42.982,44.22,1.335,Grocery Stores,1,Reward Points,gas discount,Spend $100 and earn 0.10 off per gallon for a single fillup,1.5,1,Grocery
Save Mart,80,4.889,4.889,19.35,0.226,"Discount, Variety Stores",1,SaveSmart,store credit,Spend $100 earn 100 points = $1.1 worth of coupon,1.1,3,Discount
Sears Holdings,16,26.614,31.283,45.52,1.905,Department Stores,1,Shop Your Way Rewards,store credit,Spend $100 earn 1000 points = $1 reward certificate,1,12,Department
Signet Jewelers (Kay's),99,3.647,4.203,23.17,1.471,"Specialty Retail, Other",1,Instant Rewards,store credit,Spend $300 = $100 off next purchase,33.33,6,Specialty
